subject,Q0
SS1614809227590,It was fun!
SS1614809230494,Some are scary... trippy!
SS1614809250148,
SS1614809317617,
SS1614809387863,
SS1614809390184,"It was interesting for sure, and everything worked as it should, I believe! :)"
SS1614809392317,This survey is very good and very nice
SS1614809494343,Fun and all went well!
SS1614809535320,INTERESTING
SS1614809546617,
SS1614809562496,
SS1614809596994,No problems.
SS1614809651220,This was so cute !!
SS1614809681448,Overall good
SS1614809685860,I was thinking throughout 'What would a baby be thinking of these characters?'  It was too long ago for me to remember.
SS1614809775470,Thank you! It was weird!
SS1614809782012,
SS1614809897443,
SS1614809959379,
SS1614810021635,
SS1614810072214,"Quite fun but I would think some of those complex ones would scare a baby,"
SS1614810126315,
SS1614810126330,
SS1614810242850,
SS1614810453610,
SS1614810610687,
SS1614810769594,Nice study.Thanks for the opportunity.
SS1614810827668,"no, none"
SS1614810922175,"all good, interesting. Scary little creatures"
SS1614811080175,I thought this was a lot of fun
SS1614811127804,No comments
SS1614811137210,
SS1614811222216,
SS1614811235303,
SS1614811846811,
SS1614812361702,
SS1614813358997,I really liked the study
SS1614813504898,"This was an excellent survey, and was interesting."
SS1614813544662,
SS1614813692004,NICE STUDY
SS1614813828707,VERY GOOD
SS1614813899141,
SS1614814355603,NO
SS1614814473660,different
SS1614816101982,Thanks
SS1614816163623,It was a fun survey!
SS1614816501245,I think they were ALL bugs.
SS1614816510065,Thank you for the opportunity to participate
SS1614818912855,It was weird. I liked it.
SS1614824035752,Very Good
SS1614827858003,
SS1614827874929,
SS1614827876328,good
SS1614827879289,"I'm so sorry, but on my age I accidentally put 60 instead of 30. I accidentally hit enter. Could you please update my data to be age 30? Thank you."
SS1614827879741,"It was very fun, I loved doing this test!"
SS1614827880564,none
SS1614827884971,good
SS1614827888661,good
SS1614827892194,nice
SS1614827894296,nothing
SS1614827902513,
SS1614827905070,nothing
SS1614827909045,It was fun
SS1614827913898,
SS1614827930122,
SS1614827940437,
SS1614827988692,This study was very interesting and very useful for me.
SS1614827991673,
SS1614828017660,none
SS1614828030446,It was really fun enjoyed the core
SS1614828035966,good
SS1614828042922,good
SS1614828046819,no
SS1614828049175,
SS1614828057049,NICE
SS1614828064332,interesting 
SS1614828075208,thanks given this survey.
SS1614828081054,It was very funny
SS1614828088291,none
SS1614828097147,
SS1614828097665,GOOD
SS1614828103151,No Comments
SS1614828110058,no
SS1614828122900,GOOD
SS1614828125799,interesting
SS1614828126065,interesting 
SS1614828134212,
SS1614828165952,
SS1614828166922,
SS1614828174858,good job
SS1614828208017,no
SS1614828214440,very funny
SS1614828254887,This is very funny.
SS1614828266649,The survey very importan
SS1614828309523,nothing
SS1614828340545,
SS1614828341661,nice
SS1614828346551,nice 
SS1614828413362,
SS1614828424135,
SS1614828424825,nice
SS1614828425426,
SS1614828477455,
SS1614828521283,nice
SS1614828601936,nothing
SS1614828602331,good
SS1614828631104,
SS1614828637156,NICE 
SS1614828664450,very nice
SS1614828692958,
SS1614828720712,Thank you
SS1614828748632,
SS1614828792367,none
SS1614828840892,NICE
SS1614828844893,Thank you for survey.
SS1614828861250,
SS1614828912787,STAY SAFE
SS1614828915957,
SS1614828928082,None
SS1614828936152,It's fun and the duration is good!
SS1614828998101,
SS1614829000627,
SS1614829011350,na
SS1614829036738,good job
SS1614829078192,Thanks for the opportunity. Good Day
SS1614829080355,"Oh man, I have not thought about Spore in ages. Pretty sure those were all Spore creatures."
SS1614829288213,no
SS1614829289237,
SS1614829338929,interesting
SS1614829361745,
SS1614829440103,It is an interesting survey
SS1614829456917,interesting
SS1614829490778,EXCELLENT STUDY
SS1614829528648,i would like that on a survey
SS1614829605009,na
SS1614829686510,
SS1614829886050,"Enjoyable task, thank you. "
SS1614829961253,"Interesting survey, thank you."
SS1614829974685,nothing
SS1614830077179,Very Well.
SS1614830173575,very interesting
SS1614830185449,no
SS1614830330281,very nice
SS1614830404388,
SS1614830497635,
SS1614830609091,nice
SS1614830614074,Good study
SS1614830652857,Very Good
SS1614830692007,very good
SS1614830776781,GOOD
SS1614830850290,nice survey
SS1614830905801,nice
SS1614831104359,NICE
SS1614831118171,hpood
SS1614831503257,nothing
SS1614831524372,good
SS1614831528436,
SS1614831529457,no
SS1614831534853,n/a
SS1614831535726,Very nice
SS1614831536304,NO COMMENTS
SS1614831542501,
SS1614831546863,good work
SS1614831578202,good
SS1614831590006,this survey is very useful it
SS1614831609513,
SS1614831630238,
SS1614831671050,
SS1614831718379,VERY INTERESTING 
SS1614831896937,no
SS1614832015042,very fun
SS1614832028254,very nice
SS1614832072987,no
SS1614832136275,There is no bugs.
SS1614832144674,no
SS1614832152055,
SS1614832322882,it is very interesting
SS1614832362758,nice survey
SS1614832592760,nice
SS1614832602242,good
SS1614832660419,none
SS1614832665814,"I love the creatures with big eyes, they're actually pretty funny!"
SS1614832694427,I wanted to send one of those to my granddaughter
SS1614832753349,GOOD
SS1614833099638,
SS1614833390313,good
SS1614833736991,good
SS1614833906579,GOOD
SS1614834002687,GOOD
SS1614834072011,Very interesting 
SS1614834132059,GOOD
SS1614834395071,good
SS1614834523131,nice
SS1614834751451,nice survey
SS1614835206750,very nice
SS1614836400290,nice survey
SS1614836523086,Good
SS1614837686695,good
SS1614837842479,NICE
SS1614838175964,no
SS1614838180704,Good
SS1614838187774,nice
SS1614838188720,"I think some of those might be a little terrifying for children. Maybe it's just me since I was freaked out by some strange things as a kid, but the creatures with eyes could prove unsettling for minors. The simple creatures (aka, the little bean guys) were pretty cute, though!"
SS1614838188758,
SS1614838188973,None. Thank you!
SS1614838189620,
SS1614838189854,NICE AND INTERESTING
SS1614838193803,
SS1614838195007,Very unique task. I am very enjoyed it. I do not found any problems in the task.
SS1614838197808,"no bugs, fun!"
SS1614838199573,NICE
SS1614838200949,No
SS1614838200975,NO
SS1614838201039,
SS1614838201330,
SS1614838201805,nice experiment
SS1614838203139,good
SS1614838203904,This kind of reminded me of Monsters Inc! Cute but creepy
SS1614838204064,
SS1614838204280,
SS1614838204573,
SS1614838205314,good
SS1614838215360,This was a fun survey.
SS1614838218298,These creatures look scary to me... Please design cuter ones for babies:)
SS1614838222182,nice
SS1614838222553,
SS1614838223562,Great HIT. Thanks. Have a great day!
SS1614838224389,GOOD
SS1614838226652,Nice and interesting study! Thanks for giving to this wonderful study. 
SS1614838230211,No
SS1614838240147,
SS1614838240404,29
SS1614838242378,it was fun to see amazing creatures.
SS1614838242615,nice
SS1614838244104,
SS1614838244692,Interesting in this survey.
SS1614838253047,Nice
SS1614838255332,nice
SS1614838261625,nothing
SS1614838263279,nice
SS1614838267796,None
SS1614838269336,
SS1614838269395,good
SS1614838289313,NICE
SS1614838296658,well
SS1614838297351,no
SS1614838298132,
SS1614838310511,good
SS1614838317951,
SS1614838321862,none
SS1614838322473,
SS1614838340965,
SS1614838343447,good
SS1614838359684,GOOD
SS1614838372169,Thank you for your precious contribution to society. Keep it up!
SS1614838373654,It was neat!
SS1614838375841,
SS1614838385802,Nice
SS1614838409773,no
SS1614838414526,Good
SS1614838416374,
SS1614838420113,nice
SS1614838423418,This survey was very interesting and very useful for me
SS1614838428310,"Great job,all creatures are aawesome."
SS1614838472829,good
SS1614838475829,NO
SS1614838485476,
SS1614838485814,It's fun...
SS1614838494928,NO
SS1614838502770,"It was fun, thank you for the chance."
SS1614838510833,This survey is very interested and very useful.
SS1614838513453,
SS1614838543369,no
SS1614838550927,This survey is very interesting and very useful.
SS1614838563177,Good
SS1614838564765,No bugs found
SS1614838569425,nice
SS1614838574574,Thank You
SS1614838617118,FOOD SURVEY 
SS1614838623322,NICE
SS1614838631087,Nice and This is fun task
SS1614838635249,n/a
SS1614838635395,
SS1614838643199,good
SS1614838646681,Good Survey
SS1614838649178,
SS1614838649201,I didn't notice any bugs. Oddly enough I found the simplier objects to be more strange than the more complex ones.
SS1614838651722,nice
SS1614838657531,GOOD
SS1614838683241,nice
SS1614838687882,nice
SS1614838690057,Certainly interesting.
SS1614838695886,Creature are kind of creepy.
SS1614838697011,It was fun.
SS1614838720232,NICE
SS1614838735353,NICE
SS1614838735830,Good
SS1614838735956,very interesting experiment i like it very much
SS1614838755912,no
SS1614838794339,"Yes, it was fun."
SS1614838818788,NO
SS1614838829490,Very fun exercise and impressive animations!
SS1614838831616,very nice
SS1614838834095,Interesting
SS1614838854870,Very nice
SS1614838883708,no
SS1614838906248,good job
SS1614838906278,very nice
SS1614838913341,
SS1614838932014,very nice
SS1614838941428,none
SS1614838978625,Good
SS1614839027410,Interesting
SS1614839056280,
SS1614839060580,Interesting
SS1614839072594,
SS1614839120435,NO
SS1614839130903,Very nice 
SS1614839133470,good
SS1614839165286,good luck!
SS1614839182458,Good
SS1614839191490,Good
SS1614839226615,
SS1614839233208,Interesting Task
SS1614839261816,no
SS1614839290240,no
SS1614839312202,Very nice
SS1614839378899,This study was very interesting and very useful for me
SS1614839404909,This study was very interesting and very useful for me.
SS1614839438471,INTERESTING
SS1614839483379,Very nice.
SS1614839606919,no
SS1614839610110,nice
SS1614839621643,
SS1614839649714,NICE
SS1614839659992,good
SS1614839692328,NICE
SS1614839710269,no
SS1614839711248,nice
SS1614839766368,NICE SURVEY
SS1614839788091,very good
SS1614839856074,Nice
SS1614839858292,GOOD
SS1614839868608,nice
SS1614839877789,NO
SS1614840063282,NO COMMENTS
SS1614840065669,good
SS1614840068258,NO COMMENTS
SS1614840082516,good
SS1614840087997,NO COMMENTS
SS1614840113358,good
SS1614840127340,thanks
SS1614840184376,nice
SS1614840197868,good
SS1614840217142,good
SS1614840255310,good
SS1614840258680,NICE
SS1614840306208,good
SS1614840316988,good
SS1614840349427,INTERESTING EXPERIMENT
SS1614840379064,GOOD
