subject,age,ethnicity,gender,education
SS1619113880904,45,White,Male,Bachelor's Degree
SS1619113907158,27,White,Female,Associate Degree/Technical certification
SS1619113915776,57,White,Male,Bachelor's Degree
SS1619114018200,30,White,Male,Master's Degree
SS1619114440303,34,Asian,Male,Bachelor's Degree
SS1619114495088,38,Asian,Male,Bachelor's Degree
SS1619114562036,37,White,Female,Bachelor's Degree
SS1619114564739,35,Hispanic or Latino,Female,Bachelor's Degree
SS1619114612955,56,White,Male,Bachelor's Degree
SS1619114653813,40,American Indian or Alaska Native,Male,High school diploma
SS1619114701279,41,White,Male,High school diploma
SS1619114809605,32,Black or African American,Male,Bachelor's Degree
SS1619115210837,25,White,Female,Bachelor's Degree
SS1619115241762,25,Asian,Female,Bachelor's Degree
SS1619115296274,36,White,Male,Bachelor's Degree
SS1619115431977,29,Asian,Male,Bachelor's Degree
SS1619115458314,55,White,Female,Associate Degree/Technical certification
SS1619115572464,59,White,Male,Bachelor's Degree
SS1619115768332,35,Asian,Non-binary,Associate Degree/Technical certification
SS1619115927276,41,White,Female,Master's Degree
SS1619116400194,25,White,Male,Bachelor's Degree
SS1619117495525,22,White,Male,Master's Degree
