subject,age,ethnicity,gender,education
SS1627326478117,18,Asian,Female,High school diploma
SS1627326507755,21,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1627326509722,20,White,Female,High school diploma
SS1627326510942,31,White,Female,Bachelor's Degree
SS1627326514305,19,White,Female,High school diploma
SS1627326519454,18,White,Non-binary,High school diploma
SS1627326535278,18,Black or African American,Female,High school diploma
SS1627326535322,29,White,Female,Bachelor's Degree
SS1627326541124,28,White,Female,High school diploma
SS1627326544454,23,White,Female,Bachelor's Degree
SS1627326563764,21,White,Male,High school diploma
SS1627326596231,30,Hispanic or Latino,Male,Bachelor's Degree
SS1627326604408,21,White,Male,High school diploma
SS1627326614012,19,White,Female,High school diploma
SS1627326624115,22,White,Female,Bachelor's Degree
SS1627326630212,19,White,Female,High school diploma
SS1627326659646,19,White,Female,High school diploma
SS1627326672191,19,Black or African American,Male,Bachelor's Degree
SS1627326727628,21,White,Female,Associate Degree/Technical certification
SS1627326742856,22,White,Female,Bachelor's Degree
SS1627326747790,19,White,Female,High school diploma
SS1627326751107,18,Black or African American,Female,High school diploma
SS1627326765948,24,White,Female,High school diploma
SS1627326781685,21,White,Female,Bachelor's Degree
SS1627326792573,23,White,Male,High school diploma
SS1627326800508,32,White,Female,Bachelor's Degree
SS1627326811148,20,Native Hawaiian or Other Pacific Islander,Female,High school diploma
SS1627326824703,25,White,Male,Bachelor's Degree
SS1627326834124,22,White,Female,Associate Degree/Technical certification
SS1627326847885,30,White,Female,Master's Degree
SS1627326850564,30,Black or African American,Female,Master's Degree
SS1627326866941,20,White,Female,High school diploma
SS1627326879965,20,White,Male,Associate Degree/Technical certification
SS1627326901725,50,Other,Decline to Answer,Master's Degree
SS1627326904856,24,White,Female,Bachelor's Degree
SS1627326935617,21,White,Female,High school diploma
SS1627326946925,21,White,Female,Bachelor's Degree
SS1627326972283,18,White,Female,High school diploma
SS1627326983998,23,Hispanic or Latino,Non-binary,Associate Degree/Technical certification
SS1627326984856,20,White,Female,Other
SS1627326995707,23,White,Female,Bachelor's Degree
SS1627327008681,25,White,Female,Master's Degree
SS1627327018910,23,Asian,Female,High school diploma
SS1627327142652,33,White,Male,Other
SS1627327162774,22,Asian,Female,Bachelor's Degree
SS1627327252429,23,Hispanic or Latino,Female,Bachelor's Degree
SS1627327324475,23,White,Female,Master's Degree
SS1627327379098,30,White,Female,Bachelor's Degree
SS1627330291014,22,White,Female,High school diploma
SS1627331426389,21,White,Female,High school diploma
