"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","33872","0.0-0.0","SS1679500818583","","","","","","","","","","","","","",""
"","survey-text","1","71451","0.0-1.0","SS1679500818583","37573","{""Age"":""293"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","76559","0.0-2.0","SS1679500818583","5107","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","79366","0.0-3.0","SS1679500818583","2807","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","114032","0.0-4.0","SS1679500818583","34665","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","137268","0.0-5.0","SS1679500818583","23234","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","145057","0.0-6.0","SS1679500818583","7788","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","154981","0.0-7.0","SS1679500818583","9925","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","188749","0.0-8.0","SS1679500818583","33767","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","205147","0.0-9.0","SS1679500818583","16397","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","358501","0.0-10.0","SS1679500818583","153355","","","","[{""page_index"":0,""viewing_time"":153355}]","","","","","","","","",""
"","video-keyboard-response","11","376764","0.0-11.0","SS1679500818583","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","381443","0.0-12.0","SS1679500818583","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","443092","0.0-13.0","SS1679500818583","61649","","[""stimuli/images/unity_stims/unitystims_005_Left_6fam_deviant_1_new.mp4""]","39","","trial","6","6","1","deviant","6","stimuli/images/unity_stims/unitystims_005_Left_6fam_deviant_1_new.mp4","",""
"","html-keyboard-response","14","443819","0.0-14.0","SS1679500818583","727","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
