"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"13596","{""p_id"":""5f6388c21b14c5079764e750""}","survey-text","0","13606","0.0-0.0","SS1646459705688","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","17788","0.0-1.0","SS1646459705688","true","","","","","","","","","","","","","","","","","",""
"420146","","instructions","2","437937","0.0-2.0","SS1646459705688","","[{""page_index"":0,""viewing_time"":420146}]","","","","","","","","","","","","","","","","",""
"53056","","instructions","3","493005","0.0-3.0","SS1646459705688","","[{""page_index"":0,""viewing_time"":22304},{""page_index"":1,""viewing_time"":11195},{""page_index"":2,""viewing_time"":19555}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","4","494010","0.0-4.0","SS1646459705688","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","5","494631","0.0-5.0","SS1646459705688","","","","","null","","500","500","null","null","forced","610","","","","","","",""
"null","","html-keyboard-response","6","495635","0.0-6.0","SS1646459705688","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"12248","","stimuli-presentation","7","506878","0.0-7.0","SS1646459705688","","","","","40","","500","12748","null","null","forced","610","","","","","","",""
"5080","","stimuli-presentation","8","512475","0.0-8.0","SS1646459705688","","","","","40","","500","5580","null","null","self_paced","0","","","","","","",""
"2209","","stimuli-presentation","9","515197","0.0-9.0","SS1646459705688","","","","","40","","500","2709","null","null","self_paced","0","","","","","","",""
"3734","","instructions","10","518932","0.0-10.0","SS1646459705688","","[{""page_index"":0,""viewing_time"":3734}]","instructions","","","","","","","","","","","","","","","",""
"42379","","instructions","11","561314","0.0-11.0","SS1646459705688","","[{""page_index"":0,""viewing_time"":36377},{""page_index"":1,""viewing_time"":3183},{""page_index"":2,""viewing_time"":1373},{""page_index"":3,""viewing_time"":1446}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","12","562322","0.0-12.0","SS1646459705688","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","13","572333","0.0-13.0","SS1646459705688","","","","","null","","500","500","null","null","forced","10000","","","","","","",""
"null","","html-keyboard-response","14","573341","0.0-14.0","SS1646459705688","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","15","574160","0.0-15.0-0.0","SS1646459705688","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"30790","","stimuli-presentation","16","603123","0.0-15.0-1.0","SS1646459705688","","","trial","","40","","500","31290","null","null","forced","10000","0","complex","10000","images/stimuli/complex_17_A_a.gif","","",""
"null","","html-keyboard-response","17","604398","0.0-15.0-0.1","SS1646459705688","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"14110","","stimuli-presentation","18","619019","0.0-15.0-1.1","SS1646459705688","","","trial","","40","","500","14610","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","0","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","19","619949","0.0-15.0-0.2","SS1646459705688","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"11376","","stimuli-presentation","20","631851","0.0-15.0-1.2","SS1646459705688","","","trial","","40","","500","11876","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","0","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","21","632665","0.0-15.0-0.3","SS1646459705688","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"11003","","stimuli-presentation","22","644174","0.0-15.0-1.3","SS1646459705688","","","trial","","40","","500","11503","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","0","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","23","645256","0.0-15.0-0.4","SS1646459705688","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"7197","","stimuli-presentation","24","652969","0.0-15.0-1.4","SS1646459705688","","","trial","","40","","500","7697","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","0","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"3872","{""Q0"":""No""}","survey-multi-choice","25","656845","0.0-16.0","SS1646459705688","","","memory_test","","","","","","","","","","","","","","[0]","images/stimuli/complex_16_A_a.gif","0"
